SurveyID,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,comments
231,41,Male,United States,TX,No,No,Yes,Rarely,2989,Yes,Yes,Yes,Yes,No,Don't know,I found it difficult to answer all of the questions effectively as many of them would depend on the nature of the mental health issues as some seem more socially accepted than others. For some people telling your current supervisor that you have a history of bi-polar disorder might be easier than telling a potential employer that you have a history of compulsive gambling. They might both be bits of irrelevant information (past behavior and not indicators of future behavior). However western culture pushes us to appear as capable as possible to our supervisors in pursuit of excellence in our work. Providing information that could create a negative bias seems like a more genuine and yet more risky approach to the discussion.
232,38,Male,United Kingdom,,No,No,Yes,Sometimes,4770,No,No,Don't know,Not sure,Don't know,Don't know,NA
233,38,Male,United States,NH,No,No,No,Sometimes,4703,Yes,Yes,Don't know,Not sure,No,Don't know,NA
234,30,male,Netherlands,,No,No,No,,2336,No,Yes,Don't know,No,Don't know,Don't know,NA
235,25,Male,United Kingdom,,No,No,No,Never,1231,No,Yes,No,No,No,No,NA
236,37,Male,Canada,,No,Yes,Yes,Often,3921,No,Yes,Yes,Yes,No,Don't know,NA
237,34,Male,United Kingdom,,No,Yes,No,,3894,No,Yes,No,No,No,No,NA
238,37,F,United States,NC,No,Yes,Yes,Sometimes,3129,No,No,Yes,Yes,Yes,Yes,NA
239,28,Female,Canada,,No,Yes,Yes,Sometimes,1826,No,No,Yes,Yes,Yes,Yes,NA
240,22,Male,Sweden,,No,No,No,,3217,No,Yes,Don't know,No,No,No,NA
241,34,male,United States,FL,No,Yes,Yes,Sometimes,2376,No,Yes,No,No,No,No,NA
242,33,M,United States,CA,No,Yes,Yes,Sometimes,4384,No,Yes,Yes,Yes,Yes,Yes,NA
243,25,Male,South Africa,,No,No,No,,2317,No,Yes,No,No,No,No,NA
244,27,Male,United States,GA,No,No,No,Never,2285,Yes,Yes,Yes,Yes,Don't know,Don't know,NA
245,40,M,United States,OH,No,No,Yes,Sometimes,4075,Yes,Yes,Yes,Yes,Yes,Yes,I have only discussed my mental illness with close family members. I feel completely uncomfortable discussing with anyone at my place of employment as I am concerned it would have negative consequences.
246,21,Male,United States,KY,No,No,Yes,Often,3469,No,No,Don't know,No,No,Don't know,NA
247,29,Male,United Kingdom,,No,No,No,,3305,No,No,No,No,No,No,NA
248,32,M,United States,NC,No,Yes,Yes,Sometimes,2491,Yes,Yes,No,No,No,No,NA
249,29,f,United States,NY,No,Yes,Yes,Rarely,2620,Yes,No,Yes,Yes,Yes,Don't know,NA
250,23,Male,United States,AL,No,Yes,Yes,Sometimes,578,Yes,No,Don't know,No,No,Don't know,NA
251,28,Male,United States,GA,No,Yes,No,,502,No,Yes,Yes,No,No,Don't know,NA
252,31,male,United States,CA,No,Yes,Yes,Rarely,4116,Yes,Yes,Yes,Yes,Yes,Don't know,NA
253,27,Male,United Kingdom,,No,No,No,,3858,No,No,Don't know,Not sure,Don't know,Don't know,NA
254,24,Male,United States,VA,No,No,No,Sometimes,3888,No,Yes,Don't know,No,Don't know,Don't know,NA
255,29,Male,Canada,,No,No,No,Often,4097,No,Yes,No,No,No,No,NA
256,23,Female,United Kingdom,,No,No,Yes,Sometimes,2152,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
257,42,Male,United States,WA,No,No,No,Never,1034,Yes,Yes,No,Yes,No,Yes,No benefits at this organization but my employer/direct supervisor has had positive and constructive conversations with me about physical and mental health. Supervisor offered solutions advice time/energy to get help if I ever felt that needed it. (though it would have to be at my own expense). I feel safe sharing personal info with this particular person/company but this environment is the exception rather than the norm in my 15+ years as a tech worker. I would never feel safe enough to reveal info about any mental health concerns with any previous employers in the tech industry for fear of  negative perceptions job loss performance dings etc. 
258,24,Male,United Kingdom,,No,No,No,,2836,No,Yes,No,No,No,No,NA
259,25,Male,Australia,,No,Yes,Yes,Often,2135,No,Yes,No,Yes,No,No,NA
260,27,Female,United States,TX,No,No,Yes,Rarely,1589,No,Yes,Yes,No,No,No,NA
261,27,Male,Canada,,No,No,No,Sometimes,4321,Yes,Yes,No,Yes,No,No,NA
262,30,Male,United States,FL,No,No,Yes,Sometimes,2571,Yes,Yes,Yes,Yes,No,Yes,NA
263,29,male,Poland,,No,Yes,Yes,Rarely,1182,No,Yes,No,Yes,No,No,NA
264,43,Male,Canada,,Yes,No,No,,4565,Yes,Yes,No,Not sure,No,No,NA
265,32,male,United States,NV,No,No,No,,805,No,Yes,No,Yes,No,Don't know,NA
266,41,Male,United States,AL,No,No,Yes,Sometimes,779,Yes,Yes,Yes,Yes,Don't know,No,I think I am very lucky in my workplace. Our CEO has a degree in psychology.
267,32,Male,United Kingdom,,Yes,Yes,Yes,Sometimes,2070,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Some of these questions were difficult to answer as being self-employed they didn't all apply to me.
268,37,Female,United States,CA,No,Yes,Yes,Often,446,No,Yes,Yes,Yes,No,No,NA
269,32,Male,United States,CO,No,No,No,Never,4657,Yes,Yes,No,No,No,No,NA
270,30,Male,Ireland,,Yes,No,No,Sometimes,3936,Yes,Yes,No,No,No,No,NA
271,23,female,United States,MN,No,Yes,Yes,Never,1820,No,No,Yes,No,Don't know,Don't know,NA
272,30,Male,United States,NJ,No,No,No,,4112,No,Yes,Yes,Yes,Yes,Yes,NA
273,,male,United Kingdom,,No,No,No,Sometimes,1068,No,Yes,No,Yes,No,No,NA
274,38,Male,United States,PA,No,No,Yes,Rarely,4287,Yes,Yes,Yes,No,No,No,NA
275,33,Male,Canada,,No,No,No,,4643,No,Yes,Yes,No,Yes,Yes,NA
276,34,male,United States,MO,No,No,No,,4820,No,No,Yes,No,No,No,NA
277,28,male,Colombia,,No,No,No,Sometimes,784,No,Yes,No,Yes,No,No,NA
278,30,male,United States,MN,No,No,Yes,Rarely,676,No,No,Yes,Yes,Yes,Don't know,NA
279,23,Male,United States,PA,No,Yes,No,Sometimes,4563,No,Yes,Don't know,No,No,Don't know,NA
280,22,Male,Australia,,Yes,Yes,Yes,Sometimes,4234,Yes,Yes,Don't know,Not sure,Yes,Yes,NA
281,27,male,Portugal,,No,No,No,Never,4203,No,Yes,No,No,No,No,It's a small startup in a small city in a small country.
282,18,male,United States,TX,No,No,Yes,Sometimes,1329,No,Yes,Don't know,No,No,Don't know,NA
283,35,male,United States,NY,No,Yes,Yes,Sometimes,415,No,Yes,Yes,Yes,No,No,NA
284,25,Male,Canada,,No,No,No,,4985,No,No,Don't know,Not sure,No,No,NA
285,27,Male,United Kingdom,,No,Yes,Yes,Sometimes,4858,No,Yes,No,No,No,No,Hi Ed it's Paul Dragoonis. I have Aspergers/High Functioning Autism :-)
286,26,Female,United States,WA,No,Yes,Yes,Rarely,4734,No,Yes,Yes,Not sure,Don't know,Don't know,NA
287,18,Male,United States,WA,No,No,No,Never,3113,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
288,38,Female,United States,TX,No,No,Yes,Sometimes,1736,No,Yes,No,Yes,No,No,The form of mental health problem that I suffer is anxiety.
289,26,Female,United States,TX,No,Yes,Yes,Rarely,2222,Yes,Yes,Yes,Yes,Yes,Don't know,NA
290,30,Male,Switzerland,,Yes,No,No,Never,1201,No,Yes,No,No,No,No,NA
291,35,male,United States,CA,No,No,No,Never,3287,No,Yes,Don't know,No,No,Don't know,NA
292,45,male,United States,NY,No,Yes,Yes,Sometimes,4335,No,Yes,Yes,Yes,Don't know,Don't know,NA
293,32,Male,United States,CA,No,No,No,Never,4079,No,Yes,Yes,No,No,Don't know,NA
294,24,Female,United States,CA,No,No,No,,2321,No,Yes,Don't know,Not sure,No,Don't know,NA
295,30,F,United States,SC,No,Yes,Yes,Sometimes,940,No,Yes,Yes,Yes,Yes,Don't know,NA
296,60,male,United States,CA,No,No,No,,2505,No,Yes,Yes,No,Don't know,Yes,NA
297,33,Male,United States,CA,No,Yes,Yes,Sometimes,3394,No,Yes,Yes,No,Yes,Yes,NA
298,37,M,United States,NY,No,No,No,Never,201,No,Yes,Yes,Yes,Yes,Yes,NA
299,23,Female,United States,NY,No,No,Yes,Sometimes,4884,No,Yes,Yes,Yes,Yes,Yes,NA
300,31,f,United States,CA,No,No,Yes,Sometimes,2638,No,Yes,Yes,Not sure,Don't know,Don't know,NA
301,26,Male,United States,MA,No,No,No,Rarely,1082,No,Yes,Yes,Not sure,No,Don't know,NA
302,28,female,United States,WA,No,Yes,Yes,Often,4035,Yes,No,Yes,Yes,Yes,Yes,NA
303,37,F,United States,CA,No,No,Yes,Rarely,4796,No,Yes,Yes,Yes,Don't know,Yes,NA
304,26,male,Canada,,No,Yes,Yes,Often,791,No,Yes,Yes,No,No,Don't know,NA
305,30,queer/she/they,United States,IL,No,Yes,Yes,Rarely,4791,No,Yes,Yes,Not sure,No,No,NA
306,26,M,United States,IN,No,No,No,,3507,No,Yes,No,No,No,No,NA
307,25,Male,United States,OR,No,No,No,,4429,Yes,Yes,Don't know,Not sure,No,Don't know,NA
308,27,Male,United States,TN,No,No,No,Sometimes,4989,No,Yes,Yes,Not sure,Yes,Yes,The thought of going through my employer directly to get help is fucking scary.Getting help is the hardest part of getting help.
309,25,Male,Canada,,No,No,Yes,Often,1668,Yes,No,Don't know,No,No,Don't know,NA
310,35,male,United States,OR,No,No,Yes,Rarely,542,No,Yes,Yes,Not sure,Don't know,Yes,NA
311,36,Male,United States,WA,Yes,No,Yes,Never,3856,No,Yes,No,Yes,No,No,NA
312,26,Male,United States,CA,No,Yes,Yes,Sometimes,2370,No,Yes,Yes,Not sure,No,Don't know,NA
313,27,Male,United States,CA,No,Yes,No,,4850,No,Yes,Don't know,No,Don't know,Don't know,Don't know because I haven't checked not because it's difficult to find out. If you didn't have the don't know option I would've looked up the answer.
314,30,male,United States,VT,No,No,No,,3481,No,No,Don't know,Not sure,No,Don't know,NA
315,29,M,United States,NY,No,No,No,,3348,No,No,Don't know,Not sure,No,Don't know,NA
316,25,Male,United States,UT,No,No,No,Never,3909,No,No,Yes,Yes,Yes,Yes,NA
317,22,Female,United States,NY,No,Yes,Yes,Often,609,No,Yes,Yes,Yes,Yes,Yes,NA
318,29,male,Latvia,NY,No,No,No,,965,No,Yes,No,Yes,No,No,NA
319,41,Male,United States,SD,No,Yes,Yes,Rarely,2062,Yes,Yes,Yes,Yes,Don't know,Yes,NA
320,29,Male,United States,CA,No,No,Yes,Sometimes,1891,No,Yes,Yes,No,No,Don't know,NA
321,32,Male,United States,OR,No,No,No,Never,4334,No,Yes,Yes,Not sure,Don't know,Yes,NA
322,24,female,United States,CA,No,Yes,Yes,Sometimes,4032,No,Yes,Yes,Yes,No,Yes,NA
323,25,Male,United States,CA,No,No,Yes,Rarely,4138,No,Yes,Yes,No,Don't know,No,NA
324,25,m,United States,CA,No,No,No,,479,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
325,30,Female,United States,CO,No,No,No,Never,4376,No,Yes,Yes,Yes,Yes,Yes,NA
326,25,Male,United States,CA,No,Yes,Yes,Sometimes,1264,No,Yes,Don't know,Not sure,Don't know,Yes,NA
327,30,Male,United States,OH,Yes,No,No,Never,189,Yes,Yes,No,Yes,No,No,NA
328,,male,Germany,,Yes,Yes,Yes,Rarely,2487,No,No,No,No,No,No,NA
329,24,Male,United States,WA,No,No,No,,973,No,Yes,Yes,Not sure,Yes,Yes,NA
330,25,Male,Canada,,No,Yes,Yes,Sometimes,1871,No,Yes,Yes,Yes,No,Don't know,NA
331,31,Male,United States,OH,No,No,No,,133,No,No,Don't know,No,No,No,NA
332,45,Male,Ireland,,Yes,No,Yes,Often,3148,No,Yes,No,No,No,No,NA
333,29,m,Romania,,No,No,No,,3008,Yes,No,No,Yes,No,No,NA
334,46,M,United States,WA,No,No,No,Never,3292,No,Yes,Yes,Not sure,Yes,Don't know,NA
335,30,Male,United Kingdom,,No,No,Yes,Sometimes,1413,No,Yes,Don't know,No,No,Don't know,NA
336,29,F,United States,CA,Yes,No,No,Sometimes,1553,No,Yes,Yes,Not sure,Don't know,No,NA
337,24,Male,United States,MA,No,No,No,,2174,No,Yes,Yes,Yes,Don't know,Don't know,I think there might be some bugs in my thought but I haven't sought treatment because they're not worse than annoying and I worry about having the label.
338,29,male,United States,WA,No,No,No,,1950,No,Yes,Yes,Yes,Yes,Yes,I think a lot of our policy is based on a situation that occurred in the past 5 years. A very public mental illness happened with a coworker that unfortunately ended negatively. It was definitely a catalyst to talking about our options but the overall sentiment of it being OK to take time off talk with your supervisors etc. has always been there. It's a great company.
339,35,Male,United States,MI,No,No,No,,982,No,No,Don't know,Not sure,No,Don't know,NA
340,33,f,United States,WA,No,Yes,No,Sometimes,2569,Yes,Yes,No,Yes,No,No,NA
341,27,Male,United States,CA,No,No,No,Sometimes,649,No,Yes,Don't know,Not sure,Don't know,Don't know,Regardless of a stated lack of negative consequences for discussing mental health issues with coworkers/superiors unconscious bias is a very real thing - as long as I don't *need* to inform my co-workers my mental health issues do not need to be public knowledge.
342,36,Male,United States,IA,No,No,No,,2494,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
343,33,Male,United Kingdom,,No,No,No,Rarely,873,Yes,Yes,Don't know,No,No,No,NA
344,25,F,United States,WA,No,Yes,Yes,Sometimes,1618,No,Yes,Yes,Yes,No,No,NA
345,23,Male,United States,AL,No,Yes,Yes,Sometimes,3016,No,No,Don't know,No,No,No,YOU MAY WANT TO THROW OUT MY ENTRY.I answered all of these questions with the assumption that Attention Deficit Disorder is considered a mental illness and with ADD in mind.
346,54,M,United States,CA,No,Yes,Yes,Never,2792,No,Yes,Don't know,No,Yes,Yes,NA
347,22,Male,United States,CA,No,No,No,Sometimes,2177,No,Yes,Don't know,No,Don't know,Don't know,NA
348,25,non-binary,United States,CA,No,Yes,Yes,Sometimes,1533,No,Yes,Yes,Yes,Don't know,Don't know,NA
349,29,Male,Belgium,,No,No,No,Often,274,No,No,Don't know,No,No,No,In Belgium we have all medical care so perhaps some question are not relevant
350,27,Male,United States,MA,No,No,Yes,Sometimes,2083,No,Yes,Yes,Yes,Yes,Yes,NA
351,30,Male,United Kingdom,,No,No,No,Never,4159,No,Yes,No,No,No,Don't know,A co-worker recently had mental health issues and my employer was very reasonable with them I don't know the full story but I do know that he was given ample time off and eased back in to the work place.
352,26,male,United States,CA,No,Yes,Yes,Often,86000,No,Yes,Yes,Not sure,Don't know,Yes,NA
353,25,Female,Sweden,,No,Yes,No,Sometimes,197,No,Yes,Yes,Yes,Yes,No,NA
354,31,Male,United States,CA,No,No,Yes,Sometimes,1412,No,No,No,Yes,No,Don't know,NA
355,33,M,United States,IN,No,Yes,Yes,Sometimes,4511,No,Yes,Don't know,Not sure,No,No,NA
356,34,M,United States,WA,No,Yes,Yes,Sometimes,3861,No,Yes,Yes,Yes,Don't know,Yes,NA
357,34,Male,United States,WA,No,No,Yes,Sometimes,3815,Yes,Yes,No,No,No,No,NA
358,29,M,United States,IN,Yes,No,No,,1778,Yes,Yes,No,Yes,No,No,NA
359,33,Femake,United States,WA,No,No,No,,4164,No,Yes,No,No,No,No,NA
360,,male,Germany,,Yes,Yes,Yes,Rarely,1859,Yes,Yes,No,No,No,Don't know,NA
361,26,male,United States,OK,Yes,Yes,Yes,Rarely,4757,Yes,No,No,No,No,Don't know,NA
362,32,Male,United States,MI,No,Yes,Yes,Rarely,1647,No,No,Yes,Yes,Yes,Yes,NA
363,329,Male,United States,OH,No,No,Yes,Often,2694,Yes,Yes,Yes,Yes,No,No,NA
364,28,Male,United States,GA,No,Yes,Yes,Sometimes,1408,No,Yes,Don't know,Not sure,No,Don't know,NA
365,35,Male,United States,CA,No,Yes,No,,3650,No,Yes,Yes,No,Yes,Yes,NA
366,21,Male,United States,IN,No,Yes,Yes,Rarely,2103,No,Yes,Yes,No,No,Don't know,NA
367,21,Male,United Kingdom,,No,No,Yes,Sometimes,3368,No,No,Don't know,Not sure,No,No,NA
368,22,F,United States,WA,No,No,No,,2888,No,Yes,Yes,No,Yes,Yes,NA
369,41,m,United States,WA,No,Yes,Yes,Often,503,No,Yes,Yes,No,Yes,Yes,NA
370,55,M,United States,PA,No,Yes,Yes,Rarely,1983,No,Yes,Yes,Yes,Yes,Yes,My refer to the mental health issue of depression.  I might answer differently if I was talking about a more serious issue like schizophrenia
371,32,F,United States,WA,No,No,Yes,Sometimes,1960,No,Yes,Yes,Yes,Yes,Yes,My employer does what they can providing a wellness program and pointing it out after particularly stressful times. But the interaction between the wellness program and the medical insurance is unpleasant and finding a long-term therapist / psychiatrist covered by insurance is amazingly difficult. My current lack of active treatment is due to insurance friction more than workplace friction.
372,21,F,United States,CA,No,Yes,Yes,Rarely,986,No,Yes,Don't know,Not sure,Don't know,No,NA
373,45,M,United States,MA,No,No,Yes,Never,1178,Yes,Yes,Yes,Yes,Don't know,Don't know,NA
374,27,female,United States,WA,No,No,Yes,Rarely,1708,No,Yes,Yes,Yes,No,No,NA
375,25,Female,United States,WA,No,Yes,Yes,Sometimes,2158,Yes,Yes,Don't know,No,No,No,NA
376,34,woman,United States,NY,No,Yes,Yes,Rarely,2463,No,No,Yes,Yes,Yes,Yes,I work for a university.
377,26,F,United States,CA,No,Yes,Yes,Never,3827,No,Yes,Yes,Yes,No,Yes,NA
378,41,Male,Canada,,No,No,Yes,Never,308,No,Yes,Yes,Not sure,No,Don't know,NA
379,27,Male,United States,CA,No,No,Yes,Rarely,4929,No,Yes,Yes,No,Yes,Yes,NA
380,31,Make,United States,IN,No,Yes,Yes,Sometimes,4064,Yes,Yes,Yes,No,No,No,NA
381,,Male,Germany,,No,Yes,Yes,Often,376,Yes,Yes,No,No,No,No,NA
382,26,M,United States,NV,No,No,Yes,Sometimes,2495,No,Yes,Don't know,No,No,No,NA
383,27,female,United States,CO,No,Yes,Yes,Rarely,4262,Yes,Yes,Yes,Yes,No,Don't know,NA
384,42,Male,New Zealand,,No,No,No,Never,3571,No,Yes,Don't know,Not sure,No,No,NA
385,29,Nah,United States,CA,Yes,Yes,Yes,Sometimes,4151,Yes,Yes,Yes,Yes,No,No,NA
386,25,female,United States,CA,No,No,Yes,Sometimes,3652,No,Yes,Don't know,Not sure,No,No,NA
387,33,Female,Sweden,,No,Yes,Yes,Rarely,1617,No,Yes,Yes,Yes,No,Yes,NA
388,,All,Zimbabwe,,Yes,Yes,Yes,Often,1966,No,Yes,No,Yes,No,No,NA
389,40,female,United States,PA,No,Yes,Yes,Rarely,3555,No,No,Yes,No,Don't know,Don't know,NA
390,31,Male,United States,SC,No,No,No,Never,3007,No,Yes,Don't know,No,No,Don't know,NA
391,26,Male,Canada,,No,Yes,Yes,Often,4114,Yes,Yes,Don't know,No,Don't know,Don't know,NA
392,24,female,United States,TX,No,Yes,No,,2750,No,No,No,No,No,No,NA
393,29,Male,United States,TX,No,No,No,Never,712,No,No,Yes,Not sure,No,Don't know,NA
394,48,M,United Kingdom,,No,No,No,,2671,No,Yes,Don't know,No,No,No,NA
395,35,Male,United Kingdom,,No,No,No,Sometimes,4226,No,Yes,No,No,No,No,NA
396,32,female,United States,AL,No,No,No,Never,2728,No,Yes,Don't know,Not sure,No,No,NA
397,29,Male,Canada,,No,No,Yes,Sometimes,165,No,Yes,Don't know,Not sure,Don't know,Don't know,Being in Canada there are several health options that are available to Canadian citizens/perm residents for free so employers may not provide resources because they are available elsewhere. Otherwise good quiz. I hope this benefits everyone who's dealt with mental health issues in the past!
398,26,Male,United States,OR,No,Yes,Yes,Often,754,No,Yes,Yes,Yes,No,No,NA
399,28,Male,United States,NJ,No,Yes,Yes,Sometimes,473,No,Yes,Yes,Yes,No,No,NA
400,23,male,United States,CA,No,No,No,,770,No,Yes,Don't know,No,No,Don't know,NA
401,35,M,United States,CA,No,Yes,Yes,Sometimes,2024,No,Yes,Yes,Yes,No,No,I'm troubled by the way that our hiring process tends to filter out non-neurotypicals of all stripes. Competent people who act a little funny can be hard to hire.
402,29,male,Germany,,No,Yes,Yes,Sometimes,4432,No,Yes,Don't know,No,No,No,NA
403,26,Male,United States,CA,No,Yes,No,,1799,No,Yes,Yes,Yes,No,Yes,NA
404,33,Male,United States,NH,No,Yes,Yes,Never,2600,Yes,Yes,Yes,Yes,Yes,Yes,NA
405,33,Male,United States,CA,No,No,No,,1973,Yes,Yes,Don't know,No,Don't know,Don't know,NA
406,22,Male,Brazil,,Yes,No,No,Never,4010,Yes,Yes,Don't know,No,No,No,NA
407,30,female,Spain,,No,Yes,No,,4297,No,Yes,No,No,No,No,NA
408,33,male,United States,OH,No,Yes,Yes,Often,1353,Yes,Yes,Yes,Yes,No,No,NA
409,31,Female,United States,OH,No,Yes,Yes,Rarely,953,No,No,Don't know,Not sure,No,Don't know,NA
410,21,male,United States,MA,No,Yes,No,Never,2288,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
411,31,Enby,United Kingdom,,No,Yes,Yes,Sometimes,404,No,Yes,Don't know,No,No,No,NA
412,26,F,United States,OK,No,No,Yes,Sometimes,2478,Yes,Yes,Don't know,Not sure,Don't know,Don't know,NA
413,30,Male,United States,CA,No,Yes,No,Often,4088,No,Yes,Don't know,No,No,Don't know,NA
414,,fluid,Germany,,No,Yes,Yes,Sometimes,2576,No,Yes,Don't know,Not sure,No,No,In Germany your employer doesn't really provide mental health benefits. There's a standard and I get that but I would get the same at any other company in Germany.
415,23,Male,India,,No,No,No,,2967,No,Yes,No,No,No,No,NA
416,34,Male,Finland,,No,No,No,Never,1363,No,Yes,No,No,No,No,NA
417,55,M,United States,ID,No,Yes,Yes,Sometimes,4769,Yes,Yes,No,Yes,No,Don't know,NA
418,,male,Germany,,No,Yes,Yes,Rarely,807,Yes,Yes,Yes,No,No,No,fwiw I am a co founder of this company and the would you X in an interview questions shouldn't reflect how I would treat anyone addressing their own phys/mental health issue to me in such a situation. 
419,26,M,Uruguay,,No,No,No,,2558,Yes,Yes,Don't know,No,Don't know,No,NA
420,28,Male,New Zealand,,No,Yes,Yes,Sometimes,308,Yes,Yes,Yes,Yes,Yes,No,NA
421,32,Male,United Kingdom,,No,Yes,Yes,Sometimes,1717,No,Yes,No,No,No,Don't know,NA
422,28,Female,United States,NY,No,No,Yes,Rarely,4564,No,No,Yes,Yes,No,Don't know,NA
423,21,M,United States,CA,No,No,No,Sometimes,1847,No,No,Don't know,Not sure,No,Yes,NA
424,24,Male,United States,TX,No,Yes,Yes,Sometimes,1290,No,Yes,No,Yes,No,No,NA
425,26,Female,United States,MD,No,No,No,,1964,No,No,Yes,Not sure,Yes,Don't know,NA
426,23,Male,United States,IN,No,No,No,,4610,No,No,Yes,No,No,No,NA
427,24,Female,United States,OR,No,No,No,,205,No,Yes,Yes,Yes,Yes,Yes,NA
428,28,Male,Canada,,Yes,No,No,Never,1211,Yes,Yes,Don't know,No,No,No,NA
429,24,F,United States,NY,No,Yes,Yes,Rarely,995,No,Yes,No,No,No,No,NA
430,33,male,United States,MS,Yes,No,Yes,Often,2407,Yes,Yes,No,No,No,No,NA
431,34,male,United States,NJ,No,No,No,Sometimes,1955,No,Yes,Don't know,No,No,No,NA
432,27,female,United States,CA,No,No,Yes,Sometimes,4361,No,Yes,Don't know,Not sure,No,No,I talked to a psychiatrist once about taking medical leave for mental health issues with his referral. He was willing to help but warned me that I may not want to as he's seen that sort of thing follow people throughout their tech careers (word gets out even if it's confidential at work). I've been terrified of bringing mental health up anywhere that coworkers or potential employers could see ever since.
433,28,Male,United States,TN,No,No,No,Never,1727,No,Yes,Don't know,No,No,Don't know,NA
434,26,Male,United States,WA,No,No,No,,1838,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
435,20,Male,Australia,,No,No,No,,1530,Yes,Yes,Don't know,Not sure,Don't know,Don't know,NA
436,23,female,United States,MA,No,No,Yes,Sometimes,4861,No,Yes,Yes,Yes,No,Don't know,NA
437,29,Male,United States,PA,No,Yes,Yes,Rarely,2536,Yes,Yes,Yes,Yes,Yes,Yes,NA
438,26,Male,United Kingdom,,No,Yes,No,Sometimes,2366,No,Yes,No,No,No,No,NA
439,36,Male,United States,KY,No,No,No,Rarely,2377,Yes,Yes,Yes,No,Yes,Don't know,NA
440,41,m,United States,PA,No,No,Yes,Sometimes,2164,No,Yes,Yes,Yes,Yes,Yes,NA
441,33,female,United States,MA,No,No,No,,227,Yes,Yes,Yes,No,Don't know,No,NA
442,23,M,Canada,,No,Yes,Yes,Sometimes,3893,No,Yes,Yes,Yes,No,No,NA
443,39,Male,United States,CA,No,Yes,No,Often,1384,No,Yes,Yes,No,No,Don't know,NA
444,34,M,United States,VT,No,Yes,No,,1743,No,Yes,Yes,Not sure,Don't know,Don't know,NA
445,26,F,United States,CA,No,No,Yes,Sometimes,3836,No,Yes,Yes,Yes,No,No,NA
446,24,Male,United States,AZ,No,No,Yes,Rarely,522,No,Yes,Yes,Yes,Yes,No,NA
447,37,Male,Canada,,No,Yes,Yes,Rarely,2252,No,No,Yes,Yes,Yes,Yes,NA
448,43,Male,United States,MA,Yes,Yes,Yes,Often,1095,Yes,Yes,Yes,Yes,No,No,So much depends upon the organization. 
449,40,Genderqueer,United States,VA,No,Yes,No,Never,1756,No,Yes,Yes,Yes,Yes,Don't know,NA
450,30,male,United States,WA,No,Yes,Yes,Often,4905,No,Yes,Yes,Yes,Yes,No,NA
451,34,M,United States,CA,No,No,Yes,Sometimes,3747,No,Yes,Don't know,Not sure,No,No,Now at starutp.  Previously worked at big tech company which was actually quite good at supporting mental health issues.  Still wouldn't share with bosses/other employees though as there remains a strong negative stigma.
452,27,Male,United States,OR,No,Yes,Yes,Sometimes,4331,No,Yes,Don't know,Not sure,No,Don't know,NA
453,36,Male,United States,MI,No,No,No,Sometimes,3777,No,Yes,Don't know,No,No,No,NA
454,27,Male,Brazil,,No,No,No,Rarely,4993,No,Yes,No,Yes,No,No,NA
455,35,Male,Netherlands,,No,Yes,No,Never,2096,No,Yes,Yes,No,No,No,Nice job on the text field for gender :-)
456,32,Male,United Kingdom,,No,No,No,Never,1499,No,Yes,No,No,No,No,NA
457,37,M,United States,OR,No,No,No,,522,No,Yes,Yes,No,No,No,NA
458,29,Male,United Kingdom,,No,No,No,,1761,No,Yes,Don't know,No,Don't know,Don't know,NA
459,33,Female ,United States,CA,No,No,No,Never,4740,No,Yes,Yes,Not sure,Yes,Yes,I currently have the best managers I've ever worked with. I don't have any issues but one of my coworkers recently did and it was handled extremely well. 
460,28,Make,United States,UT,No,No,No,Sometimes,1063,Yes,Yes,No,Yes,No,No,NA
461,26,Female,United States,CA,No,Yes,No,Never,4584,No,Yes,Don't know,Not sure,No,No,NA
462,27,M,United States,TX,No,Yes,Yes,Sometimes,163,Yes,Yes,Don't know,No,Yes,Don't know,NA
463,38,Male,United Kingdom,,Yes,No,Yes,Sometimes,2330,Yes,Yes,No,No,No,No,NA
464,57,M,United States,CA,No,Yes,Yes,Rarely,4206,No,Yes,Yes,Yes,No,No,NA
465,28,Male,United Kingdom,,No,No,Yes,Sometimes,1923,No,Yes,No,No,No,No,NA
466,26,male,France,,No,No,No,Never,4783,No,Yes,No,Yes,No,No,NA
467,42,f,Netherlands,,No,No,Yes,Rarely,4037,Yes,Yes,Yes,Yes,No,No,NA
468,31,Male,United States,OR,No,No,Yes,Sometimes,4831,Yes,Yes,Yes,Yes,Yes,Yes,NA
469,58,Male,United States,CA,No,No,Yes,Rarely,1589,No,Yes,Yes,Yes,Yes,Yes,NA
470,29,Male,United States,OH,No,No,No,Sometimes,640,No,Yes,Don't know,No,No,No,NA
471,39,Female,United Kingdom,,No,No,Yes,Sometimes,1883,No,Yes,Yes,Yes,No,Yes,NA
472,34,Male,United States,OH,No,No,No,Sometimes,1972,Yes,Yes,Don't know,No,No,No,NA
473,57,Male,United States,CA,No,No,Yes,Sometimes,635,No,Yes,Yes,Not sure,Yes,Yes,NA
